id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,28053,28507,2368,43307,3979
0500000US,28055,25776,8356,52088,22390
0500000US,28057,40510,4313,53717,3032
0500000US,28059,51142,1836,64894,1814
0500000US,28061,35931,4566,53343,4473
0500000US,28063,20188,3089,34501,5932
0500000US,28065,30083,5768,42975,5015
0500000US,28067,41263,3241,59064,3187
0500000US,28069,28176,4952,39622,4215
0500000US,28071,47132,4004,69037,4075
0500000US,28073,58188,3250,75945,4211
0500000US,28075,41704,2220,59086,2916
0500000US,28077,42290,5007,54173,3771
0500000US,28079,33482,4567,47833,3498
0500000US,28081,47978,1722,65246,2626
0500000US,28083,26052,2080,44123,4444
0500000US,28085,40355,3626,56735,3510
0500000US,28087,45355,3489,61053,2576
0500000US,28089,71690,2395,100819,3752
0500000US,28091,31446,1825,47210,2750
0500000US,28093,41572,3790,55973,3845
0500000US,28095,40940,4281,56148,3316
0500000US,28097,33667,5391,50971,6619
0500000US,28099,36875,2295,52500,2721
0500000US,28101,33831,3057,55737,7363
0500000US,28103,36000,4776,45589,3956
0500000US,28105,38800,3306,58865,2796
0500000US,28107,36563,2215,52156,3590
0500000US,28109,45820,4345,59810,2668
0500000US,28111,39007,8024,55077,7006
0500000US,28113,30910,1794,45150,2861
0500000US,28115,41379,2411,56336,3966
0500000US,28117,37519,3908,50999,4287
0500000US,28119,25510,2768,36797,3093
0500000US,28121,64557,1536,79509,1903
0500000US,28123,33735,3749,56890,5578
0500000US,28125,28799,4575,43551,5373
0500000US,28127,37946,2940,53203,3554
0500000US,28129,41657,2874,59336,5795
0500000US,28131,44883,6737,60077,7081
0500000US,28133,30029,2823,47217,2999
0500000US,28135,30028,2097,47688,5873
0500000US,28137,51056,4878,64847,3987
0500000US,28139,39839,3396,52623,4071
0500000US,28141,37312,2843,49450,3820
0500000US,28143,37822,6969,50655,9972
0500000US,28145,41287,2751,52505,2569
0500000US,28147,29804,3733,48456,7453
0500000US,28149,43039,2656,58170,2651
0500000US,28151,30834,1278,49433,3207
0500000US,28153,37970,7084,58240,5371
0500000US,28155,40683,7710,52955,5141
0500000US,28157,26599,2999,36932,3756
0500000US,28159,36214,3190,59031,7689
0500000US,28161,41864,3375,49546,3427
0500000US,28163,31402,2367,51917,6256
0500000US,29001,40046,2435,55584,4597
0500000US,29003,55683,5167,70526,3418
0500000US,29005,48385,3253,60781,3191
0500000US,29007,43761,1422,57969,4487
0500000US,29009,41463,1911,56640,3765
0500000US,29011,41625,2397,62378,5262
0500000US,29013,46186,3012,65596,7480
0500000US,29015,38028,2852,54881,7214
0500000US,29017,42985,4144,53616,3470
0500000US,29019,54043,1666,73099,2130
0500000US,29021,50457,1896,63587,1805
0500000US,29023,39058,2674,53525,3101
